PID  PPID STAT    RSS COMM
 7798  7471 S     36288 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Plugin).app/Contents/MacOS/Claude Helper (Plugin)
 7799  7471 S     38816 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Plugin).app/Contents/MacOS/Claude Helper (Plugin)
 7800  7471 S     33776 /Applications/Claude.app/Contents/Frameworks/Claude Helper (Plugin).app/Contents/MacOS/Claude Helper (Plugin)
 7801  7471 S       608 /Applications/Claude.app/Contents/Helpers/disclaimer
 7802  7471 S       608 /Applications/Claude.app/Contents/Helpers/disclaimer
 7803  7801 S     40192 npm exec mcp-remote@latest http://127.0.0.1:8787/context7/mcp --header x-mcp-client:claude-desktop
 7804  7802 S     40192 npm exec mcp-remote@latest http://127.0.0.1:8787/tavily/mcp --header x-mcp-client:claude-desktop
 7839  7471 S       608 /Applications/Claude.app/Contents/Helpers/disclaimer
 7840  7839 S     40224 npm exec mcp-remote@latest http://127.0.0.1:8787/tavily/mcp --header x-mcp-client:claude-desktop
 7841  7471 S       608 /Applications/Claude.app/Contents/Helpers/disclaimer
 7842  7841 S     40224 npm exec mcp-remote@latest http://127.0.0.1:8787/context7/mcp --header x-mcp-client:claude-desktop
 7858  7803 S     36560 node
 7874  7804 S     36560 node
 7890  7840 S     36560 node
 7906  7842 S     36560 node
 8075     1 Ss     5440 /System/Library/CoreServices/SubmitDiagInfo
 8292     1 Ss     6304 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.SpotlightIndexExtension.appex/Contents/MacOS/com.apple.Notes.SpotlightIndexExtension
 8413     1 Ss     2272 /System/Library/CoreServices/CrashReporterSupportHelper
 8945 97261 S    241888 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
 8957  7609 S     18560 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin)
 8959  7609 S     19120 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin)
 9073  7609 S     19136 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin)
 9808     1 S      5408 /System/Library/PrivateFrameworks/People.framework/peopled
11552     1 S      2160 /usr/sbin/distnoted
12372     1 Ss     3408 /usr/libexec/taskgated
12482     1 S      2000 /usr/sbin/distnoted
13497     1 Ss     3936 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension
13514     1 S      2688 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
13559     1 Ss     3984 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariLinkExtension.appex/Contents/MacOS/SafariLinkExtension
13630     1 Ss     4912 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension
14366     1 Ss     8704 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
17252 97261 S     84192 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
17254 97261 S      4336 /Applications/Claude.app/Contents/Helpers/chrome-native-host
18058  7609 S     20064 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Plugin).app/Contents/MacOS/Code Helper (Plugin)
18855     1 SNs    2800 /usr/sbin/netbiosd
19283     1 S      5008 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
19304     1 S      3824 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged
19747     1 S      3184 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
20094     1 S      2816 /usr/sbin/BTLEServerAgent
21216     1 Ss     4064 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
21389     1 Ss     5120 /usr/libexec/countryd
22025     1 S    102032 /Applications/WhatsApp.app/Contents/MacOS/WhatsApp
22041     1 Ss    15552 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
22649     1 Ss     6704 /usr/libexec/sandboxd
22781     1 Ss    11248 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
22979 97261 S    103952 /Applications/Brave Origin.app/Contents/Frameworks/Brave Origin Framework.framework/Versions/153.1.95.101/Helpers/Brave Origin Helper (Renderer).app/Contents/MacOS/Brave Origin Helper (Renderer)
23018     1 S      2000 /usr/sbin/distnoted
23042     1 S     24976 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared
23049     1 S     25552 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared
23050     1 S     21520 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared
23051     1 S     20256 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared
23052     1 S     19744 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared
23053     1 S     20416 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared
